User_ID,Skills,Next_Skill
1,"Python;Java;SQL;HTML;CSS;JavaScript;React;Node.js","Machine Learning,Data Science;Backend Development"
2,"JavaScript;HTML;CSS;React;Angular;Vue.js;TypeScript;Node.js","Backend Development;Frontend Development;Web Development"
3,"Python;Java","Data Structures;Algorithms"
4,"HTML;CSS","JavaScript;Web Development"
5,"Python;Data Science","Machine Learning;Deep Learning"
6,"Java;Spring","Hibernate;Microservices"
7,"JavaScript;React","Node.js;Frontend Development"
8,"Python;C++;Algorithms","Machine Learning;Data Structures"
9,"HTML;CSS;JavaScript","React;Web Development"
10,"Java;Spring;Hibernate","Microservices;Cloud Computing"
11,"Python;SQL;Data Analysis","Machine Learning;Data Science"
12,"C++;Algorithms","Data Structures;Algorithms"
13,"JavaScript;TypeScript;React","Frontend Development;Web Development"
14,"Python;HTML;CSS","Frontend Development;Data Science"
15,"Java;Spring;Hibernate","Backend Development;Microservices"
16,"Java;C#;SQL","Database;Backend Development"
17,"React;Node.js;JavaScript","Backend Development;Full Stack Development"
18,"Python;SQL;Data Science","Machine Learning;Data Analysis"
19,"C++;Python;Algorithms","Machine Learning;Data Structures"
20,"JavaScript;Node.js;TypeScript","Frontend Development;Web Development"
21,"React;Vue.js;Angular","Frontend Development;Web Development"
22,"Python;Java;SQL","Data Science;Machine Learning"
23,"JavaScript;HTML;CSS","Web Development;Frontend Development"
24,"Python;Data Science;Machine Learning","Deep Learning;AI"
25,"Java;Spring;Hibernate","Backend Development;Cloud Computing"
26,"JavaScript;CSS;HTML","Frontend Development;Web Development"
27,"Python;C++;Algorithms","Data Structures;Machine Learning"
28,"Java;Spring","Microservices;Cloud Computing"
29,"JavaScript;React;Node.js","Full Stack Development;Backend Development"
30,"Python;Data Science","Data Analysis;Machine Learning"
31,"HTML;CSS;JavaScript","React;Web Development"
32,"Python;Java","Data Structures;Algorithms"
33,"React;Node.js;JavaScript","Backend Development;Web Development"
34,"Java;Spring","Microservices;Backend Development"
35,"JavaScript;TypeScript;React","Web Development;Frontend Development"
36,"Python;Java;SQL","Machine Learning;Data Science"
37,"JavaScript;React","Frontend Development;Backend Development"
38,"C++;Python;Data Structures","Machine Learning;AI"
39,"Java;Spring","Microservices;Backend Development"
40,"HTML;CSS","Web Development;Frontend Development"
41,"Python;SQL","Data Science;Machine Learning"
42,"JavaScript;React;Node.js","Full Stack Development;Backend Development"
43,"Python;C++;Algorithms","Data Structures;Machine Learning"
44,"Java;Spring","Microservices;Backend Development"
45,"Python;Data Science","Machine Learning;AI"
46,"JavaScript;TypeScript;React","Frontend Development;Web Development"
47,"Python;Java","Data Structures;Machine Learning"
48,"HTML;CSS;JavaScript","Frontend Development;Web Development"
49,"Python;SQL;Data Analysis","Machine Learning;Data Science"
50,"C++;Java;Algorithms","Data Structures;Machine Learning"
51,"JavaScript;React;Node.js","Full Stack Development;Backend Development"
52,"Python;C++;Algorithms","Machine Learning;Data Structures"
53,"Java;Spring","Microservices;Backend Development"
54,"Python;Data Science","Machine Learning;AI"
55,"JavaScript;React","Frontend Development;Web Development"
56,"Python;Java;SQL","Data Science;Machine Learning"
57,"JavaScript;TypeScript;React","Frontend Development;Web Development"
58,"Java;C++;SQL","Backend Development;Database"
59,"Python;HTML;CSS","Frontend Development;Data Science"
60,"Java;Spring","Microservices;Backend Development"
61,"JavaScript;React;Node.js","Full Stack Development;Backend Development"
62,"Python;C++;Algorithms","Machine Learning;Data Structures"
63,"HTML;CSS;JavaScript","Frontend Development;Web Development"
64,"Python;SQL;Data Analysis","Machine Learning;AI"
65,"Java;Spring;Hibernate","Microservices;Cloud Computing"
66,"JavaScript;React","Frontend Development;Backend Development"
67,"Python;Java","Data Structures;Algorithms"
68,"React;Vue.js","Frontend Development;Web Development"
69,"Python;Java;SQL","Data Science;Machine Learning"
70,"JavaScript;CSS;HTML","Frontend Development;Web Development"
71,"Java;Spring","Backend Development;Microservices"
72,"Python;C++;Algorithms","Machine Learning;Data Structures"
73,"JavaScript;React","Frontend Development;Backend Development"
74,"Java;Spring;Hibernate","Backend Development;Microservices"
75,"Python;Data Science","Machine Learning;Deep Learning"
76,"JavaScript;HTML;CSS","Frontend Development;Web Development"
77,"Java;C++;SQL","Database;Backend Development"
78,"Python;Java","Machine Learning;Deep Learning"
79,"JavaScript;React","Frontend Development;Backend Development"
80,"Python;SQL;Data Science","Machine Learning;AI"
81,"C++;Python;Algorithms","Data Structures;Machine Learning"
82,"JavaScript;React;Node.js","Full Stack Development;Backend Development"
83,"Python;Data Science","Machine Learning;Deep Learning"
84,"Java;Spring","Microservices;Cloud Computing"
85,"JavaScript;React","Frontend Development;Backend Development"
86,"Python;C++;Algorithms","Machine Learning;Data Structures"
87,"Java;Spring","Backend Development;Microservices"
88,"Python;SQL","Data Science;Machine Learning"
89,"JavaScript;HTML;CSS","Frontend Development;Web Development"
90,"React;JavaScript;Node.js","Full Stack Development;Backend Development"
91,"Python;Java","Machine Learning;Deep Learning"
92,"JavaScript;React","Frontend Development;Backend Development"
93,"Python;SQL","Data Science;Machine Learning"
94,"JavaScript;HTML;CSS","Frontend Development;Web Development"
95,"Python;C++;Algorithms","Data Structures;Machine Learning"
96,"Java;Spring","Backend Development;Microservices"
97,"JavaScript;React;Node.js","Full Stack Development;Backend Development"
98,"Python;Java","Machine Learning;Data Science"
99,"JavaScript;React;Vue.js","Frontend Development;Web Development"
100,"Python;Java;SQL","Machine Learning;Data Science"

